brand,cep_category,hits,N_b,coverage,ci_low,ci_high,languages
0345803507,en,5,26,0.19230769230769232,0.0850706114894241,0.3787625711931699,['en']
0345803507,en,1,26,0.038461538461538464,0.006821984993543487,0.18892778903034757,['en']
0439023483,en,14,46,0.30434782608695654,0.1907984080276724,0.4480564644840765,['en']
0439023483,en,1,46,0.021739130434782608,0.0038478542580502872,0.11335294521511355,['en']
0439023483,en,1,46,0.021739130434782608,0.0038478542580502872,0.11335294521511355,['en']
0439023513,en,3,21,0.14285714285714285,0.04981012499725268,0.34636060280620945,['en']
0439023513,en,2,21,0.09523809523809523,0.026518767438074548,0.28914139073918255,['en']
0439023513,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
0439023521,en,14,46,0.30434782608695654,0.1907984080276724,0.4480564644840765,['en']
0439023521,en,1,46,0.021739130434782608,0.0038478542580502872,0.11335294521511355,['en']
0439023521,en,1,46,0.021739130434782608,0.0038478542580502872,0.11335294521511355,['en']
0439023548,en,3,20,0.15,0.052368745896216595,0.36041886474075696,['en']
0439023548,en,2,20,0.1,0.027866481213768224,0.3010336452284873,['en']
0439023548,en,1,20,0.05,0.008881448800795402,0.23613119344674205,['en']
0446547573,en,5,20,0.25,0.11186170140766566,0.46870087761874407,['en']
044654759x,en,5,20,0.25,0.11186170140766566,0.46870087761874407,['en']
0446547603,en,5,20,0.25,0.11186170140766566,0.46870087761874407,['en']
0446573671,en,5,20,0.25,0.11186170140766566,0.46870087761874407,['en']
b004llil4q,en,9,25,0.36,0.20247880774458224,0.5548150225183514,['en']
b004llil4q,en,4,25,0.16,0.0640345145667644,0.3465362160717886,['en']
b004llil4q,en,1,25,0.04,0.007096233501987265,0.19544063736193734,['en']
b004llil6o,en,6,21,0.2857142857142857,0.1381386295212213,0.49956380716085597,['en']
b004llil6o,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b004llil6o,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b004llilbo,en,11,40,0.275,0.1610801624766734,0.4283495580621057,['en']
b004llilbo,en,7,40,0.175,0.0874541374603592,0.31949990331787714,['en']
b004llilbo,en,1,40,0.025,0.0044268315026814095,0.1288136896347409,['en']
b004llilby,en,13,43,0.3023255813953488,0.1860200013584818,0.45105364177729607,['en']
b004llilby,en,8,43,0.18604651162790697,0.09741751428996226,0.32617003657274385,['en']
b004llilby,en,1,43,0.023255813953488372,0.004117087274333769,0.12058993440607177,['en']
b005suhpo6,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhpo6,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhpo6,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhpo6,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005suhpve,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhpve,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhpve,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhpve,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005suhq3q,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhq3q,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhq3q,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhq3q,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005suhq86,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhq86,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhq86,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhq86,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005suhqt0,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhqt0,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhqt0,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhqt0,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005suhr6c,en,5,34,0.14705882352941177,0.06449441444782457,0.3012805649545216,['en']
b005suhr6c,en,7,34,0.20588235294117646,0.10349526899031913,0.36798388051163594,['en']
b005suhr6c,en,3,34,0.08823529411764706,0.030465943674648555,0.22960486562808868,['en']
b005suhr6c,en,4,34,0.11764705882352941,0.04671446664882335,0.26620842770371833,['en']
b005zxwmus,en,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144,['en']
b005zxwmus,en,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843,['en']
b0074bw614,en,7,30,0.23333333333333334,0.11792388144489496,0.40928326158122164,['en']
