date,pagePath,eventName,sessionSource,sessionMedium,eventCount,totalUsers,sessions
20250917,/Kyo.github.io/,page_view,(not set),(not set),10,1,3
20250917,/Kyo.github.io/,page_view,(direct),(none),7,1,4
20250821,/Kyo.github.io/business/start-up/design/2021/05/10/service-design-analysis-of-monzo.html,page_view,(direct),(none),5,3,3
20250907,/Kyo.github.io/,page_view,(direct),(none),4,2,2
20250917,/Kyo.github.io/,session_start,(direct),(none),4,1,4
20250821,/Kyo.github.io/business/start-up/design/2021/05/10/service-design-analysis-of-monzo.html,first_visit,(direct),(none),3,3,3
20250821,/Kyo.github.io/business/start-up/design/2021/05/10/service-design-analysis-of-monzo.html,session_start,(direct),(none),3,3,3
20250902,/Kyo.github.io/,page_view,facebook.com,referral,2,1,1
20250907,/Kyo.github.io/,first_visit,(direct),(none),2,2,2
20250907,/Kyo.github.io/,page_view,facebook.com,referral,2,1,1
20250907,/Kyo.github.io/,session_start,(direct),(none),2,2,2
20250913,/Kyo.github.io/,page_view,facebook.com,referral,2,1,1
20250917,/Kyo.github.io/,click,(direct),(none),2,1,1
20250917,/Kyo.github.io/,scroll,(not set),(not set),2,1,2
20250917,/Kyo.github.io/,user_engagement,(not set),(not set),2,1,2
20250917,/Kyo.github.io/about/,user_engagement,(not set),(not set),2,1,1
20250917,/Kyo.github.io/work-with-me/,page_view,(not set),(not set),2,1,2
20250902,/Kyo.github.io/,first_visit,facebook.com,referral,1,1,1
20250902,/Kyo.github.io/,session_start,facebook.com,referral,1,1,1
20250907,/Kyo.github.io/,first_visit,facebook.com,referral,1,1,1
20250907,/Kyo.github.io/,session_start,facebook.com,referral,1,1,1
20250913,/Kyo.github.io/,first_visit,facebook.com,referral,1,1,1
20250913,/Kyo.github.io/,session_start,facebook.com,referral,1,1,1
20250917,/Kyo.github.io/,user_engagement,(direct),(none),1,1,1
20250917,/Kyo.github.io/about/,page_view,(not set),(not set),1,1,1
20250917,/Kyo.github.io/archives/,page_view,(not set),(not set),1,1,1
20250917,/Kyo.github.io/archives/,user_engagement,(direct),(none),1,1,1
20250917,/Kyo.github.io/marketing/,user_engagement,(not set),(not set),1,1,1
20250917,/Kyo.github.io/newsletter/,user_engagement,(direct),(none),1,1,1
20250917,/Kyo.github.io/press-kit/,page_view,(not set),(not set),1,1,1
20250917,/Kyo.github.io/press-kit/,user_engagement,(not set),(not set),1,1,1
20250917,/Kyo.github.io/visualization/,page_view,(direct),(none),1,1,1
20250917,/Kyo.github.io/visualization/,user_engagement,(not set),(not set),1,1,1
20250917,/Kyo.github.io/work-with-me/,scroll,(not set),(not set),1,1,1
20250917,/Kyo.github.io/work-with-me/,user_engagement,(direct),(none),1,1,1
20250917,/Kyo.github.io/work-with-me/,user_engagement,(not set),(not set),1,1,1
